Date,Cases,Deaths,US Deaths,Number of Countries
1/22/20,555,17,0,29
1/23/20,654,18,0,37
1/24/20,941,26,0,39
1/25/20,1434,42,0,42
1/26/20,2118,56,0,45
1/27/20,2927,82,0,48
1/28/20,5578,131,0,49
1/29/20,6166,133,0,52
1/30/20,8234,171,0,55
1/31/20,9927,213,0,59
2/1/20,12038,259,0,61
2/2/20,16787,362,0,61
2/3/20,19881,426,0,61
2/4/20,23892,492,0,62
2/5/20,27635,564,0,62
2/6/20,30794,634,0,62
2/7/20,34391,719,0,63
2/8/20,37120,806,0,63
2/9/20,40150,906,0,63
2/10/20,42762,1013,0,63
2/11/20,44802,1113,0,63
2/12/20,45221,1118,0,63
2/13/20,60368,1371,0,63
2/14/20,66885,1523,0,64
2/15/20,69030,1666,0,64
2/16/20,71224,1770,0,64
2/17/20,73258,1868,0,64
2/18/20,75136,2007,0,64
2/19/20,75639,2122,0,65
2/20/20,76197,2247,0,65
2/21/20,76819,2251,0,67
2/22/20,78572,2458,0,67
2/23/20,78958,2469,0,67
2/24/20,79561,2629,0,72
2/25/20,80406,2708,0,76
2/26/20,81388,2770,0,83
2/27/20,82746,2814,0,87
2/28/20,84112,2872,0,94
2/29/20,86011,2941,1,99
3/1/20,88369,2996,1,104
3/2/20,90306,3085,6,112
3/3/20,92840,3160,7,116
3/4/20,95120,3254,11,124
3/5/20,97886,3347,12,128
3/6/20,101801,3459,14,137
3/7/20,105847,3558,17,140
3/8/20,109821,3801,21,145
3/9/20,113590,3987,22,149
3/10/20,118620,4263,28,154
3/11/20,125875,4614,32,162
3/12/20,128352,4722,41,164
3/13/20,145219,5408,50,178
3/14/20,156116,5830,56,193
3/15/20,167466,6472,70,200
3/16/20,181603,7150,98,207
3/17/20,197113,7956,132,210
3/18/20,214846,8823,189,215
3/19/20,242616,9946,267,221
3/20/20,272247,11422,363,230
3/21/20,304555,13125,453,232
3/22/20,337018,14825,596,237
3/23/20,378282,16759,781,238
3/24/20,418079,19014,1008,240
3/25/20,467723,21785,1316,243
3/26/20,529701,24788,1726,246
3/27/20,593423,28288,2265,247
3/28/20,660824,31797,2886,251
3/29/20,720285,35323,3518,251
3/30/20,782490,39439,4316,252
3/31/20,857608,44238,5531,254
4/1/20,932638,49675,6736,254
4/2/20,1013458,55817,8286,256
4/3/20,1095876,61812,9573,256
4/4/20,1176059,67981,10834,257
4/5/20,1249737,73076,12245,260
4/6/20,1321427,78767,13894,261
4/7/20,1396438,86662,16191,261
4/8/20,1480200,93354,18270,261
4/9/20,1565538,100882,20264,261
4/10/20,1657929,108113,22333,262
4/11/20,1736025,114146,24342,262
4/12/20,1835164,119853,26086,262
4/13/20,1905192,125561,27870,262
4/14/20,1975581,132439,30262,262
4/15/20,2055506,140658,32734,262
4/16/20,2151872,147946,34827,262
4/17/20,2239723,156804,37411,262
4/18/20,2317339,163214,39753,262
4/19/20,2400894,167773,40945,262
4/20/20,2471847,173098,42659,262
4/21/20,2549175,180237,45086,262
4/22/20,2624741,186914,47412,262
4/23/20,2708547,193667,49724,262
4/24/20,2795875,199999,51493,262
4/25/20,2881140,206187,53755,262
4/26/20,2955033,209900,54881,262
4/27/20,3023722,214444,56219,262
4/28/20,3097190,220799,58355,262
4/29/20,3172287,227665,60967,262
4/30/20,3256853,233357,62996,264
5/1/20,3343777,238619,64943,265
5/2/20,3427343,243808,66369,265
5/3/20,3506729,247470,67682,265
5/4/20,3583055,251537,68922,265
5/5/20,3662691,257239,71064,265
5/6/20,3755341,263831,73431,265
